time,P,G(i),H_sun,T2m,WS10m,Int
20230116:0211,0.0,0.0,0.0,1.54,2.0,0.0
20230116:0311,0.0,0.0,0.0,1.41,1.86,0.0
20230116:0411,0.0,0.0,0.0,1.37,1.66,0.0
20230116:0511,0.0,0.0,0.0,1.51,1.45,0.0
20230116:0611,0.0,0.0,0.0,1.83,1.52,0.0
20230116:0711,0.0,0.0,0.0,1.2,1.66,0.0
20230116:0811,0.0,0.0,0.0,0.56,1.52,0.0
20230116:0911,95.36,123.46,3.16,-0.17,1.38,0.0
20230116:1011,338.28,388.6,9.26,-0.04,0.69,0.0
20230116:1111,383.92,441.66,13.67,1.08,0.69,0.0
20230116:1211,525.25,611.62,16.04,1.59,0.69,0.0
20230116:1311,208.03,245.56,16.14,1.85,0.76,0.0
20230116:1411,287.96,333.8,13.97,1.95,0.83,0.0
20230116:1511,124.42,154.4,9.73,1.9,0.83,0.0
20230116:1611,0.0,2.76,3.76,1.65,1.03,0.0
20230116:1711,0.0,0.0,0.0,0.85,1.31,0.0
20230116:1811,0.0,0.0,0.0,0.0,1.24,0.0
20230116:1911,0.0,0.0,0.0,-0.19,1.52,0.0
20230116:2011,0.0,0.0,0.0,-0.69,1.31,0.0
20230116:2111,0.0,0.0,0.0,-0.92,1.17,0.0
20230116:2211,0.0,0.0,0.0,-1.01,1.24,0.0
20230116:2311,0.0,0.0,0.0,-1.35,1.31,0.0
20230117:0011,0.0,0.0,0.0,-1.7,1.31,0.0
20230117:0111,0.0,0.0,0.0,-1.64,1.1,0.0
20230117:0211,0.0,0.0,0.0,-1.73,1.03,0.0
20230117:0311,0.0,0.0,0.0,-2.34,1.31,0.0
20230117:0411,0.0,0.0,0.0,-2.58,1.45,0.0
20230117:0511,0.0,0.0,0.0,-2.76,1.52,0.0
20230117:0611,0.0,0.0,0.0,-2.87,1.59,0.0
20230117:0711,0.0,0.0,0.0,-2.67,1.45,0.0
20230117:0811,0.0,0.0,0.0,-2.74,1.45,0.0
20230117:0911,102.1,129.41,3.29,-2.99,1.52,0.0
20230117:1011,362.82,410.46,9.41,-2.02,1.38,0.0
20230117:1111,379.46,432.26,13.84,0.27,1.38,0.0
20230117:1211,600.96,694.4,16.22,1.48,1.86,0.0
20230117:1311,592.48,682.87,16.34,2.24,2.34,0.0
20230117:1411,453.01,517.49,14.17,2.67,2.62,0.0
20230117:1511,5.31,15.64,9.94,2.46,3.03,0.0
20230117:1611,35.58,55.65,3.97,1.77,3.38,0.0
20230117:1711,0.0,0.0,0.0,0.84,3.45,0.0
20230117:1811,0.0,0.0,0.0,0.32,3.31,0.0
20230117:1911,0.0,0.0,0.0,0.46,3.1,0.0
20230117:2011,0.0,0.0,0.0,0.43,2.97,0.0
20230117:2111,0.0,0.0,0.0,0.36,2.83,0.0
20230117:2211,0.0,0.0,0.0,0.28,3.17,0.0
20230117:2311,0.0,0.0,0.0,0.17,3.24,0.0
20230118:0011,0.0,0.0,0.0,0.25,3.24,0.0
20230118:0111,0.0,0.0,0.0,0.53,3.17,0.0
20230118:0211,0.0,0.0,0.0,0.77,3.03,0.0
20230118:0311,0.0,0.0,0.0,0.91,3.17,0.0
20230118:0411,0.0,0.0,0.0,0.88,3.45,0.0
20230118:0511,0.0,0.0,0.0,0.84,3.52,0.0
20230118:0611,0.0,0.0,0.0,0.87,3.59,0.0
20230118:0711,0.0,0.0,0.0,1.75,3.52,0.0
20230118:0811,0.0,0.0,0.0,1.86,3.93,0.0
20230118:0911,0.0,2.76,3.43,1.66,3.66,0.0
20230118:1011,329.21,375.51,9.56,2.21,3.79,0.0
20230118:1111,356.5,405.63,14.01,3.28,4.28,0.0
20230118:1211,522.04,595.82,16.41,4.06,4.0,0.0
20230118:1311,535.83,610.16,16.54,4.62,4.97,0.0
20230118:1411,397.09,452.18,14.39,4.88,5.45,0.0
20230118:1511,2.55,11.04,10.15,4.74,4.34,0.0
20230118:1611,82.15,110.74,4.19,4.26,3.38,0.0
20230118:1711,0.0,0.0,0.0,3.29,2.69,0.0
